행정구역,2009년12월_총인구수,2009년12월_세대수,2009년12월_세대당 인구,2009년12월_남자 인구수,2009년12월_여자 인구수,2009년12월_남여 비율,2010년12월_총인구수,2010년12월_세대수,2010년12월_세대당 인구,2010년12월_남자 인구수,2010년12월_여자 인구수,2010년12월_남여 비율,2011년12월_총인구수,2011년12월_세대수,2011년12월_세대당 인구,2011년12월_남자 인구수,2011년12월_여자 인구수,2011년12월_남여 비율,2012년12월_총인구수,2012년12월_세대수,2012년12월_세대당 인구,2012년12월_남자 인구수,2012년12월_여자 인구수,2012년12월_남여 비율,2013년12월_총인구수,2013년12월_세대수,2013년12월_세대당 인구,2013년12월_남자 인구수,2013년12월_여자 인구수,2013년12월_남여 비율,2014년12월_총인구수,2014년12월_세대수,2014년12월_세대당 인구,2014년12월_남자 인구수,2014년12월_여자 인구수,2014년12월_남여 비율,2015년12월_총인구수,2015년12월_세대수,2015년12월_세대당 인구,2015년12월_남자 인구수,2015년12월_여자 인구수,2015년12월_남여 비율,2016년12월_총인구수,2016년12월_세대수,2016년12월_세대당 인구,2016년12월_남자 인구수,2016년12월_여자 인구수,2016년12월_남여 비율,2017년12월_총인구수,2017년12월_세대수,2017년12월_세대당 인구,2017년12월_남자 인구수,2017년12월_여자 인구수,2017년12월_남여 비율,2018년12월_총인구수,2018년12월_세대수,2018년12월_세대당 인구,2018년12월_남자 인구수,2018년12월_여자 인구수,2018년12월_남여 비율
서울특별시  (1100000000),10208302,4116660,2.48,5059269,5149033,0.98,10312545,4224181,2.44,5111259,5201286,0.98,10249679,4192752,2.44,5073899,5175780,0.98,10195318,4177970,2.44,5041336,5153982,0.98,10143645,4182351,2.43,5007869,5135776,0.98,10103233,4194176,2.41,4979768,5123465,0.97,10022181,4189948,2.39,4930943,5091238,0.97,9930616,4189839,2.37,4876789,5053827,0.96,9857426,4220082,2.34,4830206,5027220,0.96,9765623,4263868,2.29,4773899,4991724,0.96
서울특별시 종로구 (1111000000),168603,74315,2.27,84257,84346,1,170578,77621,2.2,85182,85396,1,168382,76688,2.2,83931,84451,0.99,165207,75659,2.18,82274,82933,0.99,160070,73693,2.17,79519,80551,0.99,156993,73101,2.15,77621,79372,0.98,154986,72645,2.13,76548,78438,0.98,152737,72118,2.12,75201,77536,0.97,154770,73594,2.1,75967,78803,0.96,153065,73735,2.08,74825,78240,0.96
서울특별시 중구 (1114000000),129465,58249,2.22,65025,64440,1.01,132822,61468,2.16,66879,65943,1.01,133193,61475,2.17,67065,66128,1.01,133360,61546,2.17,67043,66317,1.01,130465,60600,2.15,65371,65094,1,128065,59960,2.14,64033,64032,1,125733,59321,2.12,62687,63046,0.99,125249,59651,2.1,62204,63045,0.99,125709,60412,2.08,62253,63456,0.98,125725,61502,2.04,61947,63778,0.97
서울특별시 용산구 (1117000000),238708,107456,2.22,116954,121754,0.96,244853,113204,2.16,119482,125371,0.95,246501,112617,2.19,120183,126318,0.95,243232,110706,2.2,118461,124771,0.95,239740,109361,2.19,116491,123249,0.95,235951,108429,2.18,114578,121373,0.94,233342,107512,2.17,113177,120165,0.94,230241,106607,2.16,111601,118640,0.94,229161,107666,2.13,110878,118283,0.94,228999,108974,2.1,110640,118359,0.93
서울특별시 성동구 (1120000000),308058,126670,2.43,154333,153725,1,309093,129644,2.38,155067,154026,1.01,300711,126148,2.38,150655,150056,1,299604,125848,2.38,149832,149772,1,299337,126447,2.37,149304,150033,1,296086,125814,2.35,147363,148723,0.99,297003,126714,2.34,147570,149433,0.99,299259,128727,2.32,148326,150933,0.98,304808,132902,2.29,150368,154440,0.97,308221,137209,2.25,151359,156862,0.96
서울특별시 광진구 (1121500000),373998,156140,2.4,185190,188808,0.98,375463,159675,2.35,186024,189439,0.98,371936,158472,2.35,184103,187833,0.98,371313,158534,2.34,183528,187785,0.98,368927,159173,2.32,181864,187063,0.97,363354,158524,2.29,178738,184616,0.97,360369,158353,2.28,176884,183485,0.96,357215,158390,2.26,174797,182418,0.96,357703,160798,2.22,174414,183289,0.95,355559,162606,2.19,172794,182765,0.95
서울특별시 동대문구 (1123000000),362146,153437,2.36,182550,179596,1.02,366786,158485,2.31,184874,181912,1.02,365486,157823,2.32,183925,181561,1.01,363258,157650,2.3,182661,180597,1.01,364273,159256,2.29,182987,181286,1.01,363687,159880,2.27,182510,181177,1.01,360153,159941,2.25,180485,179668,1,355069,159426,2.23,177640,177429,1,350647,159938,2.19,175324,175323,1,348052,161820,2.15,173567,174485,0.99
서울특별시 중랑구 (1126000000),424761,171448,2.48,212576,212185,1,427455,176096,2.43,214383,213072,1.01,423706,175115,2.42,212291,211415,1,419295,174313,2.41,210043,209252,1,416798,174938,2.38,208641,208157,1,418836,176714,2.37,209323,209513,1,413909,176390,2.35,206505,207404,1,411005,177400,2.32,204900,206105,0.99,408226,179132,2.28,203325,204901,0.99,403209,180511,2.23,200419,202790,0.99
서울특별시 성북구 (1129000000),476028,192990,2.47,235755,240273,0.98,488932,201489,2.43,241927,247005,0.98,485171,199398,2.43,239726,245445,0.98,481857,197992,2.43,237474,244383,0.97,476589,196693,2.42,234573,242016,0.97,466706,193359,2.41,229205,237501,0.97,459275,190973,2.4,224980,234295,0.96,450355,188304,2.39,219951,230404,0.95,444055,187112,2.37,216556,227499,0.95,435868,186601,2.34,211904,223964,0.95
서울특별시 강북구 (1130500000),340367,136779,2.49,168998,171369,0.99,346520,142711,2.43,172109,174411,0.99,345054,142527,2.42,170906,174148,0.98,343157,142150,2.41,169866,173291,0.98,338707,141246,2.4,167342,171365,0.98,335025,141246,2.37,165223,169802,0.97,330873,141088,2.35,162967,167906,0.97,327195,141229,2.32,160861,166334,0.97,324479,142533,2.28,158918,165561,0.96,319164,143395,2.23,156071,163093,0.96
서울특별시 도봉구 (1132000000),369733,139010,2.66,182985,186748,0.98,368298,140603,2.62,182407,185891,0.98,365573,139348,2.62,181004,184569,0.98,362270,138036,2.62,179194,183076,0.98,358582,137714,2.6,177153,181429,0.98,353709,136977,2.58,174554,179155,0.97,351242,136903,2.57,173029,178213,0.97,348220,136898,2.54,171238,176982,0.97,344166,137378,2.51,168759,175407,0.96,339413,138087,2.46,166160,173253,0.96
서울특별시 노원구 (1135000000),610616,225000,2.71,299211,311405,0.96,611230,228022,2.68,299384,311846,0.96,603930,225104,2.68,295551,308379,0.96,597189,222959,2.68,292081,305108,0.96,590479,222132,2.66,288435,302044,0.95,582552,221107,2.63,284225,298327,0.95,574583,219768,2.61,279987,294596,0.95,567581,219736,2.58,276333,291248,0.95,554403,217619,2.55,269508,284895,0.95,543752,217655,2.5,263919,279833,0.94
서울특별시 은평구 (1138000000),465895,185701,2.51,229728,236167,0.97,488109,196390,2.49,240536,247573,0.97,493634,197582,2.5,242779,250855,0.97,501480,200502,2.5,246318,255162,0.97,503660,202487,2.49,246858,256802,0.96,498644,202187,2.47,243977,254667,0.96,497920,203410,2.45,242975,254945,0.95,491476,201891,2.43,239183,252293,0.95,486794,202839,2.4,236353,250441,0.94,483197,205001,2.36,233702,249495,0.94
서울특별시 서대문구 (1141000000),327451,137062,2.39,160243,167208,0.96,324541,138473,2.34,158857,165684,0.96,314852,134730,2.34,154033,160819,0.96,315113,135104,2.33,154017,161096,0.96,314110,135272,2.32,153315,160795,0.95,310376,134780,2.3,151338,159038,0.95,312141,135770,2.3,152008,160133,0.95,314194,136766,2.3,152510,161684,0.94,312800,137266,2.28,151144,161656,0.93,310313,138549,2.24,149569,160744,0.93
서울특별시 마포구 (1144000000),384013,165750,2.32,187324,196689,0.95,391865,170531,2.3,191034,200831,0.95,389493,168640,2.31,189243,200250,0.95,384644,166722,2.31,186452,198192,0.94,381856,166780,2.29,184774,197082,0.94,385439,169492,2.27,186177,199262,0.93,387643,171480,2.26,186495,201148,0.93,379892,169432,2.24,182162,197730,0.92,374915,169408,2.21,178939,195976,0.91,375077,172505,2.17,178240,196837,0.91
서울특별시 양천구 (1147000000),501395,182363,2.75,249567,251828,0.99,500001,183718,2.72,249024,250977,0.99,500210,182677,2.74,248927,251283,0.99,495911,181135,2.74,246637,249274,0.99,492528,180443,2.73,244742,247786,0.99,486221,179069,2.72,241020,245201,0.98,484532,179512,2.7,239995,244537,0.98,477739,177434,2.69,236290,241449,0.98,471154,176649,2.67,232518,238636,0.97,464185,176498,2.63,228634,235551,0.97
서울특별시 강서구 (1150000000),572836,221975,2.58,282529,290307,0.97,574127,225313,2.55,283248,290879,0.97,569072,223490,2.55,280274,288798,0.97,567431,223708,2.54,278969,288462,0.97,569070,226607,2.51,279207,289863,0.96,585160,234378,2.5,286644,298516,0.96,589074,238952,2.47,287947,301127,0.96,595485,245045,2.43,290478,305007,0.95,601691,254257,2.37,292989,308702,0.95,596949,258503,2.31,290079,306870,0.95
서울특별시 구로구 (1153000000),421967,167404,2.52,212953,209014,1.02,423736,170317,2.49,214032,209704,1.02,427468,171064,2.5,215474,211994,1.02,427520,171498,2.49,214982,212538,1.01,424964,171419,2.48,213251,211713,1.01,425831,172594,2.47,213213,212618,1,422092,172321,2.45,210440,211652,0.99,417551,172220,2.42,207667,209884,0.99,410742,171570,2.39,204003,206739,0.99,404497,172457,2.35,200417,204080,0.98
서울특별시 금천구 (1154500000),244835,100285,2.44,124836,119999,1.04,245195,103412,2.37,125528,119667,1.05,243438,103600,2.35,124665,118773,1.05,243288,104357,2.33,124675,118613,1.05,241020,104179,2.31,123462,117558,1.05,238463,103940,2.29,121878,116585,1.05,236284,103847,2.28,120604,115680,1.04,235386,104483,2.25,119885,115501,1.04,235154,106066,2.22,119497,115657,1.03,233917,107971,2.17,118915,115002,1.03
서울특별시 영등포구 (1156000000),405798,168099,2.41,204349,201449,1.01,406833,171791,2.37,205106,201727,1.02,397443,168850,2.35,199987,197456,1.01,391408,167685,2.33,196765,194643,1.01,386471,167761,2.3,193880,192591,1.01,382352,168100,2.27,191464,190888,1,378504,167863,2.25,189394,189110,1,370613,165729,2.24,185200,185413,1,368550,167355,2.2,183975,184575,1,367778,171085,2.15,183224,184554,0.99
서울특별시 동작구 (1159000000),397920,163344,2.44,196339,201581,0.97,402709,167887,2.4,198587,204122,0.97,401408,167099,2.4,197672,203736,0.97,405491,169293,2.4,199454,206037,0.97,410815,172700,2.38,202144,208671,0.97,407470,172389,2.36,200328,207142,0.97,400641,170495,2.35,196463,204178,0.96,400997,172506,2.32,196267,204730,0.96,396217,172995,2.29,193255,202962,0.95,396203,177176,2.24,192533,203670,0.95
서울특별시 관악구 (1162000000),529869,241873,2.19,269023,260846,1.03,531434,247588,2.15,269783,261651,1.03,526397,246979,2.13,267145,259252,1.03,523029,247598,2.11,265281,257748,1.03,518028,248006,2.09,262248,255780,1.03,513186,248180,2.07,259631,253555,1.02,509663,249191,2.05,257491,252172,1.02,506851,251955,2.01,256143,250708,1.02,503297,255352,1.97,253661,249636,1.02,501957,262222,1.91,252160,249797,1.01
