행정구역,2009년12월_총인구수,2009년12월_세대수,2009년12월_세대당 인구,2009년12월_남자 인구수,2009년12월_여자 인구수,2009년12월_남여 비율,2010년12월_총인구수,2010년12월_세대수,2010년12월_세대당 인구,2010년12월_남자 인구수,2010년12월_여자 인구수,2010년12월_남여 비율,2011년12월_총인구수,2011년12월_세대수,2011년12월_세대당 인구,2011년12월_남자 인구수,2011년12월_여자 인구수,2011년12월_남여 비율,2012년12월_총인구수,2012년12월_세대수,2012년12월_세대당 인구,2012년12월_남자 인구수,2012년12월_여자 인구수,2012년12월_남여 비율,2013년12월_총인구수,2013년12월_세대수,2013년12월_세대당 인구,2013년12월_남자 인구수,2013년12월_여자 인구수,2013년12월_남여 비율,2014년12월_총인구수,2014년12월_세대수,2014년12월_세대당 인구,2014년12월_남자 인구수,2014년12월_여자 인구수,2014년12월_남여 비율,2015년12월_총인구수,2015년12월_세대수,2015년12월_세대당 인구,2015년12월_남자 인구수,2015년12월_여자 인구수,2015년12월_남여 비율,2016년12월_총인구수,2016년12월_세대수,2016년12월_세대당 인구,2016년12월_남자 인구수,2016년12월_여자 인구수,2016년12월_남여 비율,2017년12월_총인구수,2017년12월_세대수,2017년12월_세대당 인구,2017년12월_남자 인구수,2017년12월_여자 인구수,2017년12월_남여 비율,2018년12월_총인구수,2018년12월_세대수,2018년12월_세대당 인구,2018년12월_남자 인구수,2018년12월_여자 인구수,2018년12월_남여 비율
충청북도  (4300000000),1527478,599204,2.55,769968,757510,1.02,1549528,617431,2.51,781301,768227,1.02,1562903,627006,2.49,787981,774922,1.02,1565628,633166,2.47,789286,776342,1.02,1572732,644062,2.44,792862,779870,1.02,1578933,656321,2.41,796141,782792,1.02,1583952,669503,2.37,798896,785056,1.02,1591625,680960,2.34,803240,788385,1.02,1594432,692140,2.3,805091,789341,1.02,1599252,707220,2.26,808971,790281,1.02
충청북도 청주시 (4311000000),643161,240704,2.67,320304,322857,0.99,655971,247916,2.65,326886,329085,0.99,661946,251174,2.64,329761,332185,0.99,666852,254271,2.62,332202,334650,0.99,672904,259455,2.59,335273,337631,0.99,831521,330551,2.52,417233,414288,1.01,831912,336408,2.47,417341,414571,1.01,835197,341596,2.44,419323,415874,1.01,835590,346000,2.42,419676,415914,1.01,837749,353320,2.37,421774,415975,1.01
충청북도 청주시 상당구 (4311100000),243777,90748,2.69,121346,122431,0.99,241589,91133,2.65,120413,121176,0.99,241621,91521,2.64,120350,121271,0.99,240433,91519,2.63,119748,120685,0.99,246128,94768,2.6,122502,123626,0.99,179792,70847,2.54,89861,89931,1,176424,70468,2.5,88055,88369,1,173701,70130,2.48,86804,86897,1,171129,69624,2.46,85402,85727,1,176818,72401,2.44,88060,88758,0.99
충청북도 청주시 서원구 (4311200000),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,224727,87902,2.56,111592,113135,0.99,220045,87656,2.51,109330,110715,0.99,217120,87531,2.48,107866,109254,0.99,216782,88484,2.45,107632,109150,0.99,209404,87678,2.39,104071,105333,0.99
충청북도 청주시 흥덕구 (4311300000),399384,149956,2.66,198958,200426,0.99,414382,156783,2.64,206473,207909,0.99,420325,159653,2.63,209411,210914,0.99,426419,162752,2.62,212454,213965,0.99,426776,164687,2.59,212771,214005,0.99,252027,100445,2.51,126827,125200,1.01,253426,103300,2.45,127406,126020,1.01,253563,105126,2.41,127647,125916,1.01,253912,106959,2.37,128106,125806,1.02,254302,109293,2.33,128949,125353,1.03
충청북도 청주시 청원구 (4311400000),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,174975,71357,2.45,88953,86022,1.03,182017,74984,2.43,92550,89467,1.03,190813,78809,2.42,97006,93807,1.03,193767,80933,2.39,98536,95231,1.03,197225,83948,2.35,100694,96531,1.04
충청북도 충주시 (4313000000),206613,80251,2.57,104091,102522,1.02,208481,82295,2.53,104874,103607,1.01,208433,82946,2.51,104916,103517,1.01,208447,83848,2.49,104956,103491,1.01,208115,84902,2.45,104785,103330,1.01,208527,86591,2.41,104944,103583,1.01,207913,87463,2.38,104696,103217,1.01,208350,88900,2.34,104877,103473,1.01,208316,90246,2.31,105000,103316,1.02,210504,93163,2.26,106222,104282,1.02
충청북도 제천시 (4315000000),135580,54485,2.49,68356,67224,1.02,137264,56504,2.43,69145,68119,1.02,137689,57393,2.4,69287,68402,1.01,137521,57975,2.37,69088,68433,1.01,137204,58662,2.34,68929,68275,1.01,136805,59233,2.31,68639,68166,1.01,136138,59856,2.27,68145,67993,1,136517,60946,2.24,68444,68073,1.01,136432,61949,2.2,68428,68004,1.01,135386,62367,2.17,67792,67594,1
충청북도 청원군 (4371000000),149783,59873,2.5,77006,72777,1.06,152944,62144,2.46,78675,74269,1.06,158369,64669,2.45,81481,76888,1.06,154780,63926,2.42,79793,74987,1.06,155002,64846,2.39,79998,75004,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충청북도 보은군 (4372000000),34845,15158,2.3,17413,17432,1,34956,15464,2.26,17473,17483,1,34717,15510,2.24,17344,17373,1,34438,15577,2.21,17168,17270,0.99,34318,15710,2.18,17098,17220,0.99,34240,15864,2.16,17092,17148,1,34296,16147,2.12,17140,17156,1,34221,16304,2.1,17093,17128,1,34053,16501,2.06,17009,17044,1,33680,16600,2.03,16834,16846,1
충청북도 옥천군 (4373000000),54117,21826,2.48,27256,26861,1.01,54025,22309,2.42,27174,26851,1.01,53496,22307,2.4,26965,26531,1.02,53244,22407,2.38,26784,26460,1.01,52763,22494,2.35,26557,26206,1.01,52469,22608,2.32,26369,26100,1.01,52404,22967,2.28,26334,26070,1.01,52267,23092,2.26,26251,26016,1.01,51766,23290,2.22,26049,25717,1.01,51465,23681,2.17,25911,25554,1.01
충청북도 영동군 (4374000000),50426,21271,2.37,25183,25243,1,50523,21767,2.32,25173,25350,0.99,50621,22025,2.3,25230,25391,0.99,50663,22293,2.27,25268,25395,0.99,50539,22554,2.24,25102,25437,0.99,50803,23111,2.2,25255,25548,0.99,50693,23586,2.15,25276,25417,0.99,50552,23840,2.12,25248,25304,1,50240,24132,2.08,24960,25280,0.99,49715,24370,2.04,24663,25052,0.98
충청북도 증평군 (4374500000),33164,13326,2.49,17041,16123,1.06,33533,13762,2.44,17264,16269,1.06,34009,14091,2.41,17480,16529,1.06,34279,14173,2.42,17511,16768,1.04,34546,14398,2.4,17606,16940,1.04,34771,14727,2.36,17821,16950,1.05,36671,15790,2.32,18803,17868,1.05,37308,16238,2.3,19110,18198,1.05,37783,16694,2.26,19446,18337,1.06,37317,16854,2.21,19229,18088,1.06
충청북도 진천군 (4375000000),61456,25280,2.43,31833,29623,1.07,62094,26005,2.39,32173,29921,1.08,63051,26488,2.38,32604,30447,1.07,63458,26873,2.36,32862,30596,1.07,64606,27750,2.33,33519,31087,1.08,65174,28285,2.3,33815,31359,1.08,67981,29750,2.29,35290,32691,1.08,69950,30746,2.28,36387,33563,1.08,73677,32898,2.24,38314,35363,1.08,78218,35276,2.22,40839,37379,1.09
충청북도 괴산군 (4376000000),36775,16908,2.18,18520,18255,1.01,36827,17341,2.12,18615,18212,1.02,37333,17805,2.1,18896,18437,1.02,37713,18187,2.07,19139,18574,1.03,38059,18716,2.03,19341,18718,1.03,38351,19151,2,19488,18863,1.03,38787,19620,1.98,19727,19060,1.03,38973,19905,1.96,19773,19200,1.03,39054,20577,1.9,19855,19199,1.03,39133,20899,1.87,19924,19209,1.04
충청북도 음성군 (4377000000),89716,36457,2.46,46903,42813,1.1,91093,37887,2.4,47768,43325,1.1,91644,38518,2.38,48030,43614,1.1,92980,39536,2.35,48743,44237,1.1,93505,40307,2.32,48991,44514,1.1,95324,41749,2.28,49919,45405,1.1,96396,43279,2.23,50648,45748,1.11,97787,44649,2.19,51372,46415,1.11,97306,45069,2.16,51156,46150,1.11,95830,45571,2.1,50546,45284,1.12
충청북도 단양군 (4380000000),31842,13665,2.33,16062,15780,1.02,31817,14037,2.27,16081,15736,1.02,31595,14080,2.24,15987,15608,1.02,31253,14100,2.22,15772,15481,1.02,31171,14268,2.18,15663,15508,1.01,30948,14451,2.14,15566,15382,1.01,30761,14637,2.1,15496,15265,1.02,30503,14744,2.07,15362,15141,1.01,30215,14784,2.04,15198,15017,1.01,30255,15119,2,15237,15018,1.01
